"","ASV","Count","rel_abun","Family","Host","Total","Core"
"A. koa.39","ASV1313",201,0.100841853884669,NA,"A. koa",189080,"Yes"
"A. koa.40","ASV1329",9,0.00451530689035832,NA,"A. koa",189080,"Yes"
"A. koa.41","ASV1335",2,0.00100340153119074,NA,"A. koa",189080,"No"
"A. koa.42","ASV1336",16,0.00802721224952589,NA,"A. koa",189080,"Yes"
"A. koa.43","ASV1351",36,0.0180612275614333,NA,"A. koa",189080,"Yes"
"A. koa.44","ASV137",129,0.0647193987618025,NA,"A. koa",189080,"Yes"
"A. koa.45","ASV1391",450,0.225765344517916,NA,"A. koa",189080,"No"
"A. koa.46","ASV1394",279,0.139974513601108,NA,"A. koa",189080,"No"
"A. koa.47","ASV1396",126,0.0632142964650164,NA,"A. koa",189080,"Yes"
"A. koa.48","ASV1400",301,0.151011930444206,NA,"A. koa",189080,"Yes"
"A. koa.49","ASV1428",9230,4.63069806644525,NA,"A. koa",189080,"Yes"
"A. koa.50","ASV1468",2545,1.27682844844021,NA,"A. koa",189080,"Yes"
"A. koa.51","ASV1475",1537,0.771114076720081,NA,"A. koa",189080,"Yes"
"A. koa.52","ASV1476",490,0.24583337514173,NA,"A. koa",189080,"Yes"
"A. koa.53","ASV1484",115,0.0576955880434673,NA,"A. koa",189080,"Yes"
"A. koa.54","ASV1494",39,0.0195663298582194,NA,"A. koa",189080,"Yes"
"A. koa.55","ASV1510",308,0.154523835803373,NA,"A. koa",189080,"No"
"A. koa.56","ASV1514",13246,6.64552834107625,NA,"A. koa",189080,"Yes"
"A. koa.57","ASV1534",91,0.0456547696691785,NA,"A. koa",189080,"Yes"
"A. koa.58","ASV1539",149,0.0747534140737099,NA,"A. koa",189080,"Yes"
"A. koa.59","ASV1542",55,0.0275935421077453,NA,"A. koa",189080,"Yes"
"A. koa.60","ASV1550",1276,0.64017017689969,NA,"A. koa",189080,"Yes"
"A. koa.61","ASV1551",18650,9.35671927835362,NA,"A. koa",189080,"Yes"
"A. koa.62","ASV1561",36439,18.2814741975296,NA,"A. koa",189080,"Yes"
"A. koa.63","ASV1565",75,0.0376275574196526,NA,"A. koa",189080,"No"
"A. koa.64","ASV1566",22096,11.0855801165953,NA,"A. koa",189080,"Yes"
"A. koa.65","ASV1571",1487,0.746029038440313,NA,"A. koa",189080,"Yes"
"A. koa.66","ASV1688",1664,0.834830073950693,NA,"A. koa",189080,"Yes"
"A. koa.67","ASV1689",1179,0.591505202636939,NA,"A. koa",189080,"Yes"
"A. koa.68","ASV1691",3503,1.75745778188057,NA,"A. koa",189080,"Yes"
"A. koa.69","ASV1693",796,0.399353809413913,NA,"A. koa",189080,"No"
"A. koa.70","ASV1699",11119,5.5784108126549,NA,"A. koa",189080,"Yes"
"A. koa.71","ASV1700",2729,1.36914138930976,NA,"A. koa",189080,"Yes"
"A. koa.72","ASV1709",301,0.151011930444206,NA,"A. koa",189080,"Yes"
"A. koa.73","ASV1712",293,0.146998324319443,NA,"A. koa",189080,"Yes"
"A. koa.74","ASV1717",303,0.152015331975397,NA,"A. koa",189080,"Yes"
"A. koa.75","ASV1719",684,0.343163323667232,NA,"A. koa",189080,"Yes"
"A. koa.76","ASV1726",12,0.00602040918714442,NA,"A. koa",189080,"No"
"A. koa.77","ASV1727",50,0.0250850382797684,NA,"A. koa",189080,"No"
