"","ASV","Count","rel_abun","Family","Host","Total"
"C. trigynum.16","ASV1259",191,0.115796876515666,"Archaeosporaceae","C. trigynum",150392
"C. trigynum.17","ASV1268",206,0.124890872053545,"Archaeosporaceae","C. trigynum",150392
"C. trigynum.18","ASV1271",441,0.267363468813658,"Archaeosporaceae","C. trigynum",150392
"C. trigynum.19","ASV1272",481,0.291614123581337,"Archaeosporaceae","C. trigynum",150392
"C. trigynum.20","ASV1400",1759,1.06642254340867,"Glomeraceae","C. trigynum",150392
"C. trigynum.21","ASV1428",14579,8.8387573964497,"Glomeraceae_core","C. trigynum",150392
"C. trigynum.22","ASV1460",279,0.169148317004559,"Glomeraceae","C. trigynum",150392
"C. trigynum.23","ASV1468",3361,2.0376612668542,"Glomeraceae","C. trigynum",150392
"C. trigynum.24","ASV1476",980,0.594141041808129,"Glomeraceae","C. trigynum",150392
"C. trigynum.25","ASV1514",28239,17.120355999612,"Glomeraceae_core","C. trigynum",150392
"C. trigynum.26","ASV1534",3863,2.34200698418857,"Glomeraceae","C. trigynum",150392
"C. trigynum.27","ASV1539",419,0.254025608691435,"Glomeraceae","C. trigynum",150392
"C. trigynum.28","ASV1542",168,0.101852750024251,"Glomeraceae","C. trigynum",150392
"C. trigynum.29","ASV1550",1051,0.637185954020759,"Glomeraceae","C. trigynum",150392
"C. trigynum.30","ASV1571",1167,0.707512852847027,"Glomeraceae","C. trigynum",150392
"C. trigynum.31","ASV1688",1175,0.712362983800563,"Glomeraceae","C. trigynum",150392
"C. trigynum.32","ASV1689",1118,0.67780580075662,"Glomeraceae","C. trigynum",150392
"C. trigynum.33","ASV1691",2992,1.81394897662237,"Glomeraceae","C. trigynum",150392
"C. trigynum.34","ASV1700",2306,1.39805024735668,"Glomeraceae_core","C. trigynum",150392
"C. trigynum.35","ASV1815",59,0.0357697157823261,"Acaulosporaceae_core","C. trigynum",150392
"C. trigynum.36","ASV1871",337,0.204311766417693,"Gigasporaceae_core","C. trigynum",150392
"C. trigynum.37","ASV1941",9661,5.8571393927636,"Glomeraceae","C. trigynum",150392
"C. trigynum.38","ASV1946",4793,2.9058347075371,"Glomeraceae_core","C. trigynum",150392
"C. trigynum.39","ASV1948",11125,6.74471335726065,"Glomeraceae_core","C. trigynum",150392
"C. trigynum.40","ASV1953",10437,6.32760209525657,"Glomeraceae_core","C. trigynum",150392
"C. trigynum.41","ASV201",10,0.00606266369191968,"Glomeromycotina","C. trigynum",150392
"C. trigynum.42","ASV2054",18278,11.0813366960908,"Glomeraceae_core","C. trigynum",150392
"C. trigynum.43","ASV2055",740,0.448637113202057,"Glomeraceae","C. trigynum",150392
"C. trigynum.44","ASV2063",12200,7.39644970414201,"Glomeraceae_core","C. trigynum",150392
"C. trigynum.45","ASV2072",3379,2.04857406149966,"Glomeraceae_core","C. trigynum",150392
"C. trigynum.46","ASV208",50,0.0303133184595984,"Glomeromycotina_core","C. trigynum",150392
"C. trigynum.47","ASV232",23,0.0139441264914153,"Glomeraceae","C. trigynum",150392
"C. trigynum.48","ASV368",1126,0.682655931710156,"Glomeromycotina_core","C. trigynum",150392
"C. trigynum.49","ASV37",928,0.562615190610147,"Glomeromycotina_core","C. trigynum",150392
"C. trigynum.50","ASV372",450,0.272819866136386,"Glomeromycotina_core","C. trigynum",150392
"C. trigynum.51","ASV378",560,0.339509166747502,"Glomeromycotina_core","C. trigynum",150392
"C. trigynum.52","ASV383",271,0.164298186051023,"Glomeromycotina_core","C. trigynum",150392
"C. trigynum.53","ASV392",2457,1.48959646910467,"Glomeromycotina_core","C. trigynum",150392
"C. trigynum.54","ASV736",46,0.0278882529828305,"Ambisporaceae_core","C. trigynum",150392
"C. trigynum.55","ASV926",665,0.403167135512659,"Paraglomeraceae_core","C. trigynum",150392
"C. trigynum.56","ASV979",213,0.129134736637889,"Claroideoglomeraceae_core","C. trigynum",150392
"Grass.1","ASV1007",3581,1.75791700825205,"Claroideoglomeraceae_core","Grass",169763
"Grass.2","ASV1038",398,0.19537865659992,"Archaeosporaceae_core","Grass",169763
"Grass.3","ASV1135",660,0.323994757175747,"Archaeosporaceae_core","Grass",169763
"Grass.4","ASV1155",59,0.0289631676869229,"Archaeosporaceae_core","Grass",169763
"Grass.5","ASV1175",1144,0.561590912437962,"Archaeosporaceae","Grass",169763
"Grass.6","ASV1176",3217,1.57922899065815,"Archaeosporaceae_core","Grass",169763
