"","Host","Remnant.Forest","Restored.Forest","t","df","Adj..P"
"1","A. koa",20.565,21.833,-0.778,89.641,0.614
"2","C. trigynum",15.558,18.575,-2.013,78.404,0.111
"3","Grass",20.778,24.261,-2.221,88.98,0.101
"4","M. polymorpha",17.159,16.833,0.194,83.676,0.847
"5","M. lessertiana",21.978,21.043,0.514,88.995,0.71
"6","R. hawaiensis",18.522,20.667,-1.243,90.327,0.38
"7","Soil",13.892,15.852,-3.139,557.219,0.013
