"","Remnant A. koa","Restored A. koa","P","Remnant C. trigynum","Restored C. trigynum","P","Remnant Grass","Restored Grass","P","Remnant M. lessertiana","Restored M. lessertiana","P","Remnant M. polymorpha","Restored M. polymorpha","P","Remnant R. hawaiensis","Restored R. hawaiensis","P","Remnant Soil","Restored Soil","P"
"Acaulosporaceae",0.41,0.057,0.5241,1.063,0.036,0.3531,0.392,0.018,0.4083,0.69,0.18,0.4298,1.075,0.004,0.3012,0.086,0.006,0.3267,1.054,0.076,0.0018
"Ambisporaceae",0.128,0.32,0.7618,0.085,0.028,0.1536,0.379,0.933,0.5581,0.063,0.653,0.0276,0.077,0.099,0.3237,0.085,0.069,0.239,0.131,0.202,0.7516
"Archaeosporaceae",2.824,7.767,0.0925,1.482,4.951,0.0317,3.815,6.763,0.2955,5.693,5.73,0.7077,3.159,4.304,0.2848,2.629,6.343,0.0635,7.884,12.269,0.02
"Claroideoglomeraceae",0.801,1.278,0.5629,0.124,0.712,0.2284,0.161,2.143,0.2302,0.852,1.483,0.4497,0.215,1.621,0.1982,0.277,0.809,0.5551,1.148,1.816,0.5189
"Gigasporaceae",1.173,0.121,0.2828,0.978,0.204,0.3322,0.451,0.074,0.3721,1.798,0.686,0.0187,3.694,0.163,0.3414,0.58,0.186,0.0389,2.04,0.456,0.0019
"Glomeraceae",69.48,73.777,0.8994,79.699,81.295,0.6488,63.019,69.329,0.5774,57.351,61.378,0.2807,68.601,82.787,0.9344,62.599,69.794,0.6973,23.972,29.96,0.0048
"Glomeromycotina",4.546,3.43,0.1659,5.568,3.548,0.3371,14.727,3.802,0.0072,15.175,13.874,0.0575,6.268,3.111,0.5004,3.535,2.629,0.1076,39.625,25.352,8e-04
"Paraglomeraceae",0.096,0.845,0.1379,0.075,0.403,0.1693,0.099,0.276,0.468,0.625,0.734,0.3536,0.031,0.902,0.977,0.052,1.001,0.225,1.067,3.383,0.2784
