"","Remnant A. koa","Restored A. koa","Adj. P","Remnant C. trigynum","Restored C. trigynum","Adj. P","Remnant Grass","Restored Grass","Adj. P","Remnant M. polymorpha","Restored M. polymorpha","Adj. P","Remnant M. lessertiana","Restored M. lessertiana","Adj. P","Remnant R. hawaiensis","Restored R. hawaiensis","Adj. P","Remnant Soil","Restored Soil","Adj. P"
"Acaulosporaceae","0.034 (0.038)","0.019 (0.014)",0.522,"0.056 (0.097)","0.009 (0.004)",0.175,"0.036 (0.042)","0.009 (0.005)",0.181,"0.063 (0.071)","0.004 (0)",NA,"0.041 (0.058)","0.02 (0.007)",0.578,"0.017 (0.009)","0.006 (0)",NA,"0.014 (0.013)","0.004 (0.004)",0
"Ambisporaceae","0.026 (0.036)","0.032 (0.038)",0.884,"0.017 (0.012)","0.007 (0.001)",0.242,"0.029 (0.041)","0.036 (0.029)",0.602,"0.019 (0.006)","0.049 (0.017)",0.331,"0.016 (0.004)","0.163 (0.274)",0.578,"0.028 (0.041)","0.01 (0.006)",0.616,"0.004 (0.004)","0.004 (0.004)",0.745
"Archaeosporaceae","0.097 (0.111)","0.181 (0.246)",0.197,"0.064 (0.057)","0.155 (0.19)",0.107,"0.119 (0.161)","0.169 (0.225)",0.556,"0.105 (0.204)","0.123 (0.175)",0.711,"0.158 (0.13)","0.13 (0.102)",0.578,"0.073 (0.134)","0.148 (0.203)",0.165,"0.04 (0.045)","0.052 (0.054)",0.029
"Claroideoglomeraceae","0.114 (0.149)","0.08 (0.121)",0.841,"0.021 (0.023)","0.065 (0.083)",NA,"0.032 (0.021)","0.107 (0.133)",0.103,"0.036 (0.04)","0.116 (0.248)",0.331,"0.053 (0.039)","0.078 (0.066)",0.578,"0.04 (0.05)","0.058 (0.072)",0.616,"0.03 (0.039)","0.026 (0.023)",0.657
"Gigasporaceae","0.042 (0.035)","0.024 (0.018)",NA,"0.043 (0.047)","0.026 (0.02)",0.242,"0.028 (0.019)","0.018 (0.019)",0.58,"0.132 (0.114)","0.023 (0.026)",0,"0.086 (0.119)","0.053 (0.032)",0.578,"0.045 (0.04)","0.017 (0.013)",NA,"0.022 (0.026)","0.009 (0.009)",0
"Glomeraceae","1.51 (1.047)","1.537 (0.985)",0.9,"1.853 (1.629)","2.032 (1.933)",0.651,"1.4 (1.323)","1.541 (1.039)",0.602,"1.595 (1.235)","1.971 (1.894)",0.331,"1.303 (1.734)","1.334 (1.811)",0.976,"1.361 (1.214)","1.454 (1.101)",0.698,"0.092 (0.112)","0.12 (0.108)",0.01
"Glomeromycotina","0.117 (0.13)","0.082 (0.093)",0.4,"0.15 (0.198)","0.111 (0.129)",0.377,"0.351 (0.554)","0.1 (0.077)",0.047,"0.165 (0.115)","0.111 (0.107)",0.193,"0.389 (0.355)","0.338 (0.315)",0.669,"0.107 (0.101)","0.073 (0.072)",0.227,"0.154 (0.193)","0.102 (0.146)",0.002
"Paraglomeraceae","0.014 (0.011)","0.056 (0.072)",0.197,"0.009 (0.006)","0.034 (0.047)",0.242,"0.017 (0.019)","0.025 (0.024)",0.58,"0.008 (0.003)","0.064 (0.116)",0.212,"0.039 (0.04)","0.039 (0.052)",0.976,"0.01 (0.012)","0.067 (0.098)",0.165,"0.027 (0.035)","0.036 (0.046)",0.304
