"","Remnant A. koa","Restored A. koa","Remnant C. trigynum","Restored C. trigynum","Remnant Grass","Restored Grass","Remnant M. lessertiana","Restored M. lessertiana","Remnant M. polymorpha","Restored M. polymorpha","Remnant R. hawaiensis","Restored R. hawaiensis","Remnant Soil","Restored Soil"
"Acaulosporaceae",0.41,0.057,1.063,0.036,0.392,0.018,0.69,0.18,1.075,0.004,0.086,0.006,1.054,0.076
"Ambisporaceae",0.128,0.32,0.085,0.028,0.379,0.933,0.063,0.653,0.077,0.099,0.085,0.069,0.131,0.202
"Archaeosporaceae",2.824,7.767,1.482,4.951,3.815,6.763,5.693,5.73,3.159,4.304,2.629,6.343,7.884,12.269
"Claroideoglomeraceae",0.801,1.278,0.124,0.712,0.161,2.143,0.852,1.483,0.215,1.621,0.277,0.809,1.148,1.816
"Gigasporaceae",1.173,0.121,0.978,0.204,0.451,0.074,1.798,0.686,3.694,0.163,0.58,0.186,2.04,0.456
"Glomeraceae",69.48,73.777,79.699,81.295,63.019,69.329,57.351,61.378,68.601,82.787,62.599,69.794,23.972,29.96
"Glomeromycotina",4.546,3.43,5.568,3.548,14.727,3.802,15.175,13.874,6.268,3.111,3.535,2.629,39.625,25.352
"Paraglomeraceae",0.096,0.845,0.075,0.403,0.099,0.276,0.625,0.734,0.031,0.902,0.052,1.001,1.067,3.383
