"","Remnant.A..koa","Restored.A..koa","Adj. P","Remnant.C..trigynum","Restored.C..trigynum","Adj. P","Remnant.Grass","Restored.Grass","Adj. P","Remnant.M..lessertiana","Restored.M..lessertiana","Adj. P","Remnant.M..polymorpha","Restored.M..polymorpha","Adj. P","Remnant.R..hawaiensis","Restored.R..hawaiensis","Adj. P","Remnant.Soil","Restored.Soil","Adj. P"
"Acaulosporaceae",0.41,0.057,0.6424,1.063,0.036,0.0913,0.392,0.018,0.2154,0.69,0.18,0.5113,1.075,0.004,NA,0.086,0.006,NA,1.054,0.076,0
"Ambisporaceae",0.128,0.32,0.8842,0.085,0.028,0.1666,0.379,0.933,0.6886,0.063,0.653,0.5113,0.077,0.099,0.3787,0.085,0.069,0.6162,0.131,0.202,0.745
"Archaeosporaceae",2.824,7.767,0.6424,1.482,4.951,0.0547,3.815,6.763,0.9172,5.693,5.73,0.5113,3.159,4.304,0.5922,2.629,6.343,0.5931,7.884,12.269,0.3113
"Claroideoglomeraceae",0.801,1.278,0.9576,0.124,0.712,NA,0.161,2.143,0.0512,0.852,1.483,0.5113,0.215,1.621,0.3822,0.277,0.809,0.6405,1.148,1.816,0.7153
"Gigasporaceae",1.173,0.121,NA,0.978,0.204,0.1732,0.451,0.074,0.5795,1.798,0.686,0.5113,3.694,0.163,0.0004,0.58,0.186,NA,2.04,0.456,0.0003
"Glomeraceae",69.48,73.777,0.002,79.699,81.295,0.0547,63.019,69.329,0.2391,57.351,61.378,0.5113,68.601,82.787,0.3787,62.599,69.794,0.2949,23.972,29.96,0.0008
"Glomeromycotina",4.546,3.43,0.4793,5.568,3.548,0.0726,14.727,3.802,0.0512,15.175,13.874,0.5113,6.268,3.111,0.0144,3.535,2.629,0.2155,39.625,25.352,0.0025
"Paraglomeraceae",0.096,0.845,0.1386,0.075,0.403,0.1474,0.099,0.276,0.5795,0.625,0.734,0.9765,0.031,0.902,0.2124,0.052,1.001,0.2155,1.067,3.383,0.3113
