"","Remnant A. koa","Restored A. koa","P","Remnant C. trigynum","Restored C. trigynum","P","Remnant Grass","Restored Grass","P","Remnant M. lessertiana","Restored M. lessertiana","P","Remnant M. polymorpha","Restored M. polymorpha","P","Remnant R. hawaiensis","Restored R. hawaiensis","P"
"Acaulosporaceae",3.8,0.205,0.0042,4.586,0.512,0.0509,0.739,1,0.5746,3.269,0.475,0.1316,6.324,0.034,0.0029,2.108,0.253,0.0213
"Ambisporaceae",0.133,0.326,0.6012,0.213,0.051,0.108,0.528,1.272,0.7147,0.688,0.681,0.5775,0.199,0.141,0.2199,0.112,0.092,0.5158
"Archaeosporaceae",3.711,8.429,0.0491,1.592,5.868,0.0421,5.273,7.932,0.5913,6.6,6.481,0.2481,3.761,4.649,0.9949,4.616,7.293,0.3594
"Claroideoglomeraceae",1.129,1.943,0.7679,0.138,0.942,0.0943,0.265,3.145,0.0284,0.956,1.499,0.0907,0.22,2.017,0.2603,0.761,1.823,0.7603
"Diversisporaceae",0.03,0.055,NA,0,0.033,NA,0,0.495,NA,0.016,0,NA,0,0.024,NA,0.056,0.103,0.649
"Gigasporaceae",1.785,0.196,0.0258,1.14,0.235,0.1655,0.488,0.117,0.3064,2.903,0.76,0.1088,7.064,0.373,0.0002,0.959,0.313,0.0945
"Glomeraceae",79.429,78.436,0.5972,80.119,84.001,0.5446,72.675,75.49,0.9271,59.372,64.198,0.8925,70.941,85.613,0.5446,80.87,76.625,0.5911
"Glomeromycotina",4.71,3.68,0.078,5.597,3.798,0.3249,14.963,5.473,0.014,15.414,14.761,0.4764,6.329,3.328,0.0363,3.613,3.412,0.2163
"Paraglomeraceae",0.135,0.879,0.0384,0.169,0.447,0.206,0.154,0.35,0.0898,0.803,0.793,0.8287,0.057,0.946,0.0925,0.096,1.024,0.0386
