"","Host","Remnant.Forest","Restored.Forest","t","df","P"
"1","A. koa",20.696,21.833,-0.693,89.287,0.49
"2","C. trigynum",15.581,18.75,-2.103,78.352,0.039
"3","Grass",20.844,24.304,-2.202,88.935,0.03
"4","M. polymorpha",17.182,16.929,0.15,83.666,0.881
"5","M. lessertiana",22.044,21.087,0.523,88.995,0.603
"6","R. hawaiensis",18.587,20.688,-1.219,90.287,0.226
"7","Soil",13.902,15.869,-3.146,557.076,0.002
